word,inaugurals_pretrump,election2016_speeches_trump,"arctan2(inaugurals_pretrump,election2016_speeches_trump)"
hillary,1.53955106691e-05,0.00942983825642,-0.997921262799
trump,1.53955106691e-05,0.00405920189846,-0.995170952445
applause,1.53955106691e-05,0.00345968900269,-0.994334160211
clinton,6.15820426764e-05,0.0107287828639,-0.992691824236
obama,1.53955106691e-05,0.0023730718791,-0.991739863354
donald,1.53955106691e-05,0.00188596765128,-0.989606535624
percent,1.53955106691e-05,0.00176106913133,-0.988869446801
email,1.53955106691e-05,0.00154874164741,-0.987343578322
isis,1.53955106691e-05,0.00137388371948,-0.98573288824
obamacare,1.53955106691e-05,0.00123649534753,-0.984147809223
donor,1.53955106691e-05,0.00118653593955,-0.983480421949
trillion,1.53955106691e-05,0.00117404608755,-0.983304701794
islamic,1.53955106691e-05,0.00107412727159,-0.981751854414
nafta,1.53955106691e-05,0.00107412727159,-0.981751854414
iran,1.53955106691e-05,0.00102416786361,-0.980861831925
refugee,1.53955106691e-05,0.00101167801162,-0.980625594493
terrorist,1.53955106691e-05,0.000861799787673,-0.977256796273
amazing,1.53955106691e-05,0.000824330231687,-0.976223249384
inaudible,1.53955106691e-05,0.000824330231687,-0.976223249384
mike,1.53955106691e-05,0.000799350527696,-0.975480406835
fbi,1.53955106691e-05,0.000786860675701,-0.975091305464
wo,1.53955106691e-05,0.00076188097171,-0.974274845667
8th,1.53955106691e-05,0.00076188097171,-0.974274845667
radical,3.07910213382e-05,0.00146131268344,-0.973175798706
veteran,1.53955106691e-05,0.000724411415725,-0.972944624897
african,4.61865320073e-05,0.0021107849872,-0.972144421737
terrorism,3.07910213382e-05,0.00137388371948,-0.971469358342
rig,1.53955106691e-05,0.000674452007744,-0.970941194909
$,7.69775533454e-05,0.00335977018672,-0.970833207329
10,1.53955106691e-05,0.000661962155748,-0.970393111358
syria,1.53955106691e-05,0.000661962155748,-0.970393111358
job,0.000215537149367,0.00898020358459,-0.969446378257
infrastructure,1.53955106691e-05,0.000636982451758,-0.969232500314
u.s.,1.53955106691e-05,0.000624492599763,-0.968617397071
agenda,1.53955106691e-05,0.000624492599763,-0.968617397071
ok,1.53955106691e-05,0.000612002747767,-0.967977203139
politician,3.07910213382e-05,0.00122400549553,-0.967977203139
secretary,3.07910213382e-05,0.00122400549553,-0.967977203139
inner,3.07910213382e-05,0.00121151564354,-0.967647212571
china,4.61865320073e-05,0.00179853868732,-0.967310351685
renegotiate,1.53955106691e-05,0.000599512895772,-0.967310351685
libya,1.53955106691e-05,0.000587023043777,-0.966615142677
happen,6.15820426764e-05,0.00233560232311,-0.966436696501
visa,1.53955106691e-05,0.000574533191782,-0.965889728425
clintons,1.53955106691e-05,0.000574533191782,-0.965889728425
police,3.07910213382e-05,0.00114906638356,-0.965889728425
november,3.07910213382e-05,0.00113657653157,-0.965515072566
billion,4.61865320073e-05,0.00169861987135,-0.96538835208
childcare,1.53955106691e-05,0.000562043339786,-0.965132097195
d.c.,1.53955106691e-05,0.000562043339786,-0.965132097195
hispanic,1.53955106691e-05,0.000549553487791,-0.964340054597
campaign,6.15820426764e-05,0.00219821395116,-0.964340054597
